Tanggal,Reach,Gender (L),Gender (P),Range Usia 18-24,Range Usia 25-34,Range Usia 35-44,Range Usia 45-54,Range Usia 55-64,Range Usia 65+
2023-10-23,8700000000,5628900000.0,3071099999.0,4149900000,3627900000,730800000,191400000,0,0
2023-10-10,6700000000,4824000000.0,1876000000.0,3195900000,2793900000,562800000,147400000,0,0
2023-11-06,5600000000,3365600000.0,2234400000.0,2419200000,2514400000,537600000,117600000,11200000,0
2023-11-13,9100000000,6024200000.0,3075799998.0,3721900000,4295200000,946400000,136500000,0,0
2023-11-20,4400000000,2780800000.0,1619200000.0,2226400000,1729200000,387200000,52800000,0,0
2023-11-27,4500000000,2421000000.0,2079000000.0,2448000000,1750500000,234000000,58500000,9000000,0
2023-12-04,2400000000,1224000000.0,1176000000.0,1252800000,1027200000,105600000,14400000,0,0
2023-12-11,2600000000,1666600000.0,933399998.0,1232400000,998400000,408200000,41600000,0,0
2023-12-18,2900000000,1829900000.0,1070099999.0,1389100000,1212200000,258100000,37700000,0,0
2023-12-25,2900000000,1908200000.0,991800000.0,1348500000,986000000,516200000,52200000,0,0
2024-01-08,4500000000,2520000000.0,1980000000.0,2776500000,1611000000,58500000,0,53999999,0
2024-01-22,3900000000,2644200000.0,1259699999.0,2117700000,1439100000,284700000,58500000,0,0
